;Q1;Q2;Q3;Q4;Q5;C1;S1;C2;S2;C3;S3;C4;S4;C5;S5;CTotal;STotal;V1;V2;V3;V4;V5;VTotal;PTotal
48;5155;2941;746;5218;8099;12887.5;515.5;4411.5;588.2;42007.26;223.79999999999998;26716.16;2087.2000000000003;31262.14;4049.5;117284.56;7464.200000000001;28661.8;9675.89;51399.4;37569.6;52319.54;179626.23;62341.67000000001
49;795;749;908;3717;11433;1987.5;79.5;1123.5;149.8;51129.48;272.4;19031.04;1486.8000000000002;44131.38;5716.5;117402.9;7705.0;4420.2;2464.21;62561.200000000004;26762.4;73857.18;170065.19;52662.29000000001
50;19710;7635;280;109;9644;49275.0;1971.0;11452.5;1527.0;15766.800000000001;84.0;558.08;43.6;37225.84;4822.0;114278.22;8447.6;109587.59999999999;25119.15;19292.0;784.8000000000001;62300.24;217083.78999999998;102805.56999999998
51;8185;18128;356;5786;4998;20462.5;818.5;27192.0;3625.6000000000004;20046.36;106.8;29624.32;2314.4;19292.28;2499.0;116617.45999999999;9364.300000000001;45508.6;59641.12;24528.4;41659.200000000004;32287.079999999998;203624.4;87006.94
52;3269;8099;364;6598;10533;8172.5;326.90000000000003;12148.5;1619.8000000000002;20496.84;109.2;33781.76;2639.2000000000003;40657.38;5266.5;115256.98000000001;9961.6;18175.64;26645.71;25079.600000000002;47505.6;68043.18;185449.72999999998;70192.74999999997
53;12637;16702;55;4808;8108;31592.5;1263.7;25053.0;3340.4;3097.05;16.5;24616.96;1923.2;31296.879999999997;4054.0;115656.39000000001;10597.8;70261.72;54949.58;3789.5000000000005;34617.6;52377.68;215996.08;100339.68999999997
54;9210;4081;288;359;17907;23025.0;921.0;6121.5;816.2;16217.28;86.39999999999999;1838.08;143.6;69121.02;8953.5;116322.88;10920.7;51207.6;13426.49;19843.2;2584.8;115679.22;202741.31;86418.43
55;19674;8642;258;3500;5402;49185.0;1967.4;12963.0;1728.4;14527.980000000001;77.39999999999999;17920.0;1400.0;20851.719999999998;2701.0;115447.7;7874.200000000001;109387.43999999999;28432.18;17776.2;25200.0;34896.92;215692.74;100245.04
56;11555;21650;108;6642;3895;28887.5;1155.5;32475.0;4330.0;6081.4800000000005;32.4;34007.04;2656.8;15034.699999999999;1947.5;116485.71999999999;10122.2;64245.799999999996;71228.5;7441.200000000001;47822.4;25161.7;215899.6;99413.88000000002
57;1976;4711;1828;637;174;4940.0;197.60000000000002;7066.5;942.2;102934.68000000001;548.4;3261.44;254.8;671.64;87.0;118874.26000000001;2030.0000000000002;10986.56;15499.19;125949.20000000001;4586.400000000001;1124.04;158145.39;39271.130000000005
58;2185;20585;51;10979;5965;5462.5;218.5;30877.5;4117.0;2871.81;15.299999999999999;56212.48;4391.6;23024.899999999998;2982.5;118449.19;11724.900000000001;12148.599999999999;67724.65;3513.9;79048.8;38533.9;200969.85;82520.66
59;13788;14446;40;10096;2574;34470.0;1378.8000000000002;21669.0;2889.2000000000003;2252.4;12.0;51691.520000000004;4038.4;9935.64;1287.0;120018.56000000001;9605.4;76661.28;47527.340000000004;2756.0;72691.2;16628.04;216263.86000000002;96245.3
60;12757;15210;539;747;7484;31892.5;1275.7;22815.0;3042.0;30351.09;161.7;3824.64;298.8;28888.239999999998;3742.0;117771.47;8520.2;70928.92;50040.9;37137.100000000006;5378.400000000001;48346.64;211831.96000000002;94060.49000000002
61;7876;14241;796;6402;322;19690.0;787.6;21361.5;2848.2000000000003;44822.76;238.79999999999998;32778.24;2560.8;1242.92;161.0;119895.42;6596.400000000001;43790.56;46852.89;54844.4;46094.4;2080.12;193662.37;73766.95
